sectorId,sheet_note,display_name,comment,mapName,Label1,City,WeatherZone,kind,has_moditem
M15,Река,,,,,,,sea_or_filler,no
M16,Река,,,,,,,sea_or_filler,no
M17,Река,,,,,,,sea_or_filler,no
M18,Река,,,,,,,sea_or_filler,no
M19,Река,,,,,,,sea_or_filler,no
M20,Река,,,,,,,sea_or_filler,no
M21,Река,,,,,,,sea_or_filler,no
M22,Река,,,,,,,sea_or_filler,no
M23,Река,,,,,,,sea_or_filler,no
M24,M24 Тут должен быть какой-то порт - дамба,,,,,,,sheet_only,no
M25,,,,,,,,empty,no
M26,,Farmland,Фермы,PNDrqcf,,,Farmland,runtime_only,yes
M27,,,,,,,,empty,no
M28,,,,,,,,empty,no
M29,,,,,,,,empty,no
M30,,,,,,,,empty,no
M31,M31 Фермы,Farmland,Фермы,tP7vqmh,,,Farmland,authored,yes
M32,,,,,,,,empty,no
N1,Море,,,,,,,sea_or_filler,no
N2,Море,,,,,,,sea_or_filler,no
N3,Море,,,,,,,sea_or_filler,no
N4,Море,,,,,,,sea_or_filler,no
N5,Море,,,,,,,sea_or_filler,no
N6,Море,,,,,,,sea_or_filler,no
N7,Море,,,,,,,sea_or_filler,no
N8,Море,,,,,,,sea_or_filler,no
N9,Море,,,,,,,sea_or_filler,no
N10,Море,,,,,,,sea_or_filler,no
N11,N11 укреп смотрящий за входом в реку,Укреп район Какао,Укреп в N11,nMmefSY,,,SouthJungle,authored,yes
N12,N12 Порт Какао город,Port Cacao City,Какао город,camztWx,City,PortDiancie,SouthJungle,authored,yes
N13,N13 Доки порт Какао,Port Cacao Docks,Доки порт_Какао,FpCgakp,City,PortDiancie,SouthJungle,authored,yes
N14,N14 ТС,,,,,,,sheet_only,no
N15,N15 ТС,,,,,,,sheet_only,no
N16,N16 (ТС) Упавший самолет (Лаз в разбойничий форт),Wetlands,Размотанный самолет,DvDj7va,,,Wetlands,authored,yes
N17,N17 Река,,,,,,,sea_or_filler,no
N18,N18 Река,,,,,,,sea_or_filler,no
N19,N19 Река,,,,,,,sea_or_filler,no
N20,Река,,,,,,,sea_or_filler,no
N21,Река,,,,,,,sea_or_filler,no
N22,N22 Причал,Great Forest,Великий лес,HpXRoyW,,,SouthJungle,authored,yes
N23,N23 Старое кладбище,Old Graveyard,Старое кладбище,Qz4yGQr,,,Farmland,authored,yes
N24,N24 Фермы,Farmland,Фермы,MuKKhYV,,,Farmland,authored,yes
N25,,,Филер,nEhGetV,,,,runtime_only,yes
N26,,,Филер,PCYMGn4,,,,runtime_only,yes
N27,N27 Фермы,Farmland,Фермы,HvHnpEm,,,Farmland,authored,yes
N28,N28 Фермы,Ферма,Ферма,ii6Yeod,,,Farmland,authored,yes
N29,N29 Фермы,Middle of Somewhere,Гдетотам,Rofukov,,,Farmland,authored,yes
N30,N30 Фермы,Farmland,Фермы,kKvrCA6,,,Farmland,authored,yes
N31,N31 Фермы,Farmland,Фермы,Den4PN,,,Farmland,authored,yes
N32,,,,,,,,empty,no
O1,Море,,,,,,,sea_or_filler,no
O2,Море,,,,,,,sea_or_filler,no
O3,Море,,,,,,,sea_or_filler,no
O4,Море,,,,,,,sea_or_filler,no
O5,Море,,,,,,,sea_or_filler,no
O6,Море,,,,,,,sea_or_filler,no
O7,Море,,,,,,,sea_or_filler,no
O8,Море,,,,,,,sea_or_filler,no
O9,Море,,,,,,,sea_or_filler,no
O10,О10 Филер,,Филер,fMWHxtM,,,,authored,yes
O11,О11 Великий лес берег (Фермы),Пригород Какао,Пригород Какао,3qduS,,,,authored,yes
O12,,,,,,,,empty,no
O13,O13 Свалка,The Dump,Свалка Какао,KkR53xA,,PortDiancie,SouthJungle,authored,yes
O14,О14 Филер (Лес),,Аванпост Какао (Пока нет),tnnLoc,,,,authored,yes
O15,,Сектор О15 видел? тоже самое,Сектор О15 видел? тоже самое,saxrae7,,,,runtime_only,yes
O16,О16 Олд-Даймонд,Old Diamond,Олд-Даймонд(Шахта возле какао),XVJfNwf,Mine,PortDiancie,SouthJungle,authored,yes
O17,О17 Филер (Лес),,Великий лес(Дорога),YTiXWVh,,,,authored,yes
O18,O18 Часть моста левая,,Мост на Какао,RDVTgah,,,,authored,yes
O19,,Филер,Филер,FrxvGHX,,,,runtime_only,yes
O20,,Jungle River Bank,Берег реки в джунглях,NYrtAxS,,,SouthJungle,runtime_only,yes
O21,О21 Великий лес (Берег),Great Forest,Великий лес,RVMSRbW,,,SouthJungle,authored,yes
O22,,Филер,Филер,WzdVaNV,,,,runtime_only,yes
O23,,Филер,Филер,LDXkV6z,,,,runtime_only,yes
O24,,,,,,,,empty,no
O25,,,,,,,,empty,no
O26,,,,,,,,empty,no
O27,,,,,,,,empty,no
O28,,,,,,,,empty,no
O29,,,,,,,,empty,no
O30,,,,,,,,empty,no
O31,,,,,,,,empty,no
O32,,,,,,,,empty,no
P1,Море,,,,,,,sea_or_filler,no
P2,Море,,,,,,,sea_or_filler,no
P3,Море,,,,,,,sea_or_filler,no
P4,Море,,,,,,,sea_or_filler,no
P5,Море,,,,,,,sea_or_filler,no
P6,Море,,,,,,,sea_or_filler,no
P7,Море,,,,,,,sea_or_filler,no
P8,P8 Хорошее место,The Good Place,Хорошее место,aszyR5Y,Dungeon,,SouthJungle,authored,yes
P9,Р9 Берег рядом с тюрьмой,Jungle River Bank,Берег реки рядом с тюрьмой,PciM4k,,,SouthJungle,authored,yes
P10,,,Великий лес (Будет),qppXxPw,,,,runtime_only,yes
P11,Р11 Великий лес (Убежище богача из заброшенного особняка),Great Forest,Великий лес,cSFjTT,,,SouthJungle,authored,yes
P12,,,,,,,,empty,no
P13,,,,,,,,empty,no
P14,,,,,,,,empty,no
P15,Р15 Лес,Лес,Лес,JAUWMKo,,,SouthJungle,authored,yes
P16,Р16 гдегдевезде,ГдеГдеВезде,ГдеГдеВезде,DYKyfjt,,,Wetlands,authored,yes
P17,Р17 Камп-де-крокодиль (Аванпост),Камп Де Крокодиль,Камп Де Крокодиль,JFxNeEb,Outpost,,Wetlands,authored,yes
P18,,,,,,,,empty,no
P19,Р19 Заброшенный аэродром,Заброшенный Аэродром,Заброшенный аэродром,my6UMM,,,GreatForest,authored,yes
P20,,,,,,,,empty,no
P21,,,,,,,,empty,no
P22,,,,,,,,empty,no
P23,,,,,,,,empty,no
P24,,,,,,,,empty,no
P25,,,,,,,,empty,no
P26,P26 Военная База - ЮГ,Военная база ЮГ,Военная база,AcNCfY4,,,,authored,yes
P27,,,,,,,,empty,no
P28,,,,,,,,empty,no
P29,,,,,,,,empty,no
P30,,,,,,,,empty,no
P31,,,,,,,,empty,no
P32,,,,,,,,empty,no
A24_Underground,(underground — not on sheet surface grid),U-Bahn Station A,"Станция УхБах, Бывший B11U",bDG4HgR,,,,underground,yes
A25_Underground,(underground — not on sheet surface grid),Diesel Klinik,«Дизельклиника»,m3YqaH,,,,underground,yes
D26_Underground,(underground — not on sheet surface grid),Freeloader's Cavern,Пещера Халявщика,nTzHv5F,Dungeon,,,underground,yes
H22_Underground,(underground — not on sheet surface grid),Бункер,Бункер,AXQt4bs,Dungeon,,,underground,yes
H23_Underground,(underground — not on sheet surface grid),U-Bahn Station B,"Станций метро У-Бах, Бывший F12U",iCThAm,,,,underground,yes
I6_Underground,(underground — not on sheet surface grid),Bunker FB45-68,Бункер_Жестянки,EbAhNkL,Ernie,,,underground,yes
I7_Underground,(underground — not on sheet surface grid),Армейский Бункер,Бункер Коразон,AxdjC3b,Boss,,,underground,yes
I16_Underground,(underground — not on sheet surface grid),Mansion Cellar,Подвал особняка с призраком,HuMwLSL,,,,underground,yes
I22_Underground,(underground — not on sheet surface grid),Secret Tunnel,,WPsAbPx,,,,underground,yes
I23_Underground,(underground — not on sheet surface grid),Underground Lab,,CQgaUwd,,,,underground,yes
J15_Underground,(underground — not on sheet surface grid),Underground Lab,Подземка немцев без входа с земли,AhdSa4,,,,underground,yes
J28_Underground,(underground — not on sheet surface grid),U-Bahn Station C,Станция метро,fsivunj,,,,underground,yes
K29_Underground,(underground — not on sheet surface grid),Подвал санатория,Подвал санатория,7WHvtx,Boss,,,underground,yes
L6_Underground,(underground — not on sheet surface grid),Бункер партизан,Бункер партизан,XnkxuED,,,,underground,yes
L16_Underground,(underground — not on sheet surface grid),U-Bahn Station D,Подземелье со входом из подземелья ФоШо,d7NYwWJ,,,,underground,yes
L17_Underground,(underground — not on sheet surface grid),Underground Tunnel,,cGP5RH3,,,,underground,yes
P8_Underground,(underground — not on sheet surface grid),The Good Place (Underground),,UgSe5Pc,Dungeon,,,underground,yes
P15_Underground,(underground — not on sheet surface grid),Underground Lab,,fVAahMG,,,,underground,yes
